,Código Departamento,Nombre Departamento,Área,Año,Hogares
664,15,Boyacá,Total,2012,359476
697,15,Boyacá,Total,2013,365954
730,15,Boyacá,Total,2014,372728
763,15,Boyacá,Total,2015,379926
796,15,Boyacá,Total,2016,387701
829,15,Boyacá,Total,2017,396207
862,15,Boyacá,Total,2018,405730
895,15,Boyacá,Total,2019,414242
928,15,Boyacá,Total,2020,422510
961,15,Boyacá,Total,2021,430257
994,15,Boyacá,Total,2022,437989
1027,15,Boyacá,Total,2023,445936
1060,15,Boyacá,Total,2024,452610
4,15,Boyacá,Total,Unnamed: 0,12
38,17,Caldas,Total,1993,222579
71,17,Caldas,Total,1994,228998
104,17,Caldas,Total,1995,235032
137,17,Caldas,Total,1996,240673
170,17,Caldas,Total,1997,245945
203,17,Caldas,Total,1998,250839
236,17,Caldas,Total,1999,255549
269,17,Caldas,Total,2000,259758
302,17,Caldas,Total,2001,263448
335,17,Caldas,Total,2002,266776
368,17,Caldas,Total,2003,269756
401,17,Caldas,Total,2004,272474
434,17,Caldas,Total,2005,275102
467,17,Caldas,Total,2006,277573
500,17,Caldas,Total,2007,280244
533,17,Caldas,Total,2008,283113
566,17,Caldas,Total,2009,286292
599,17,Caldas,Total,2010,289901
632,17,Caldas,Total,2011,293828
665,17,Caldas,Total,2012,297921
698,17,Caldas,Total,2013,302203
731,17,Caldas,Total,2014,306783
764,17,Caldas,Total,2015,311840
797,17,Caldas,Total,2016,317510
830,17,Caldas,Total,2017,323875
863,17,Caldas,Total,2018,331218
896,17,Caldas,Total,2019,338348
929,17,Caldas,Total,2020,345695
962,17,Caldas,Total,2021,352995
995,17,Caldas,Total,2022,360491
1028,17,Caldas,Total,2023,368362
1061,17,Caldas,Total,2024,376973
5,17,Caldas,Total,Unnamed: 0,15
39,18,Caquetá,Total,1993,67430
72,18,Caquetá,Total,1994,69946
105,18,Caquetá,Total,1995,72416
138,18,Caquetá,Total,1996,74796
171,18,Caquetá,Total,1997,77109
204,18,Caquetá,Total,1998,79318
237,18,Caquetá,Total,1999,81438
270,18,Caquetá,Total,2000,83464
303,18,Caquetá,Total,2001,85389
336,18,Caquetá,Total,2002,87211
369,18,Caquetá,Total,2003,88968
402,18,Caquetá,Total,2004,90689
435,18,Caquetá,Total,2005,92407
468,18,Caquetá,Total,2006,94117
501,18,Caquetá,Total,2007,95908
534,18,Caquetá,Total,2008,97801
567,18,Caquetá,Total,2009,99817
600,18,Caquetá,Total,2010,101968
633,18,Caquetá,Total,2011,104279
666,18,Caquetá,Total,2012,106744
699,18,Caquetá,Total,2013,109366
732,18,Caquetá,Total,2014,112219
765,18,Caquetá,Total,2015,115374
798,18,Caquetá,Total,2016,118851
831,18,Caquetá,Total,2017,122690
864,18,Caquetá,Total,2018,126999
897,18,Caquetá,Total,2019,130561
930,18,Caquetá,Total,2020,134333
963,18,Caquetá,Total,2021,138172
996,18,Caquetá,Total,2022,142183
1029,18,Caquetá,Total,2023,146321
