,Código Departamento,Nombre Departamento,Área,Año,Hogares
1044,70,Sucre,Total,2023,290036
1077,70,Sucre,Total,2024,296335
21,70,Sucre,Total,Unnamed: 0,63
55,73,Tolima,Total,1993,286430
88,73,Tolima,Total,1994,293875
121,73,Tolima,Total,1995,301086
154,73,Tolima,Total,1996,307983
187,73,Tolima,Total,1997,314601
220,73,Tolima,Total,1998,320916
253,73,Tolima,Total,1999,326859
286,73,Tolima,Total,2000,332508
319,73,Tolima,Total,2001,337884
352,73,Tolima,Total,2002,342985
385,73,Tolima,Total,2003,347917
418,73,Tolima,Total,2004,352791
451,73,Tolima,Total,2005,357700
484,73,Tolima,Total,2006,362593
517,73,Tolima,Total,2007,367712
550,73,Tolima,Total,2008,373100
583,73,Tolima,Total,2009,378862
616,73,Tolima,Total,2010,385092
649,73,Tolima,Total,2011,391737
682,73,Tolima,Total,2012,398797
715,73,Tolima,Total,2013,406207
748,73,Tolima,Total,2014,414114
781,73,Tolima,Total,2015,422656
814,73,Tolima,Total,2016,432002
847,73,Tolima,Total,2017,442277
880,73,Tolima,Total,2018,453804
913,73,Tolima,Total,2019,461537
946,73,Tolima,Total,2020,469420
979,73,Tolima,Total,2021,477114
1012,73,Tolima,Total,2022,484869
1045,73,Tolima,Total,2023,492812
1078,73,Tolima,Total,2024,501218
22,73,Tolima,Total,Unnamed: 0,66
56,76,Valle Del Cauca,Total,1993,913776
89,76,Valle Del Cauca,Total,1994,939556
122,76,Valle Del Cauca,Total,1995,964471
155,76,Valle Del Cauca,Total,1996,988374
188,76,Valle Del Cauca,Total,1997,1011057
221,76,Valle Del Cauca,Total,1998,1032285
254,76,Valle Del Cauca,Total,1999,1051946
287,76,Valle Del Cauca,Total,2000,1069984
320,76,Valle Del Cauca,Total,2001,1086347
353,76,Valle Del Cauca,Total,2002,1101253
386,76,Valle Del Cauca,Total,2003,1115435
419,76,Valle Del Cauca,Total,2004,1129576
452,76,Valle Del Cauca,Total,2005,1145019
485,76,Valle Del Cauca,Total,2006,1160198
518,76,Valle Del Cauca,Total,2007,1175340
551,76,Valle Del Cauca,Total,2008,1189931
584,76,Valle Del Cauca,Total,2009,1204854
617,76,Valle Del Cauca,Total,2010,1221186
650,76,Valle Del Cauca,Total,2011,1238837
683,76,Valle Del Cauca,Total,2012,1257285
716,76,Valle Del Cauca,Total,2013,1276180
749,76,Valle Del Cauca,Total,2014,1296585
782,76,Valle Del Cauca,Total,2015,1319568
815,76,Valle Del Cauca,Total,2016,1345472
848,76,Valle Del Cauca,Total,2017,1373981
881,76,Valle Del Cauca,Total,2018,1412075
914,76,Valle Del Cauca,Total,2019,1441540
947,76,Valle Del Cauca,Total,2020,1470514
980,76,Valle Del Cauca,Total,2021,1500358
1013,76,Valle Del Cauca,Total,2022,1533143
1046,76,Valle Del Cauca,Total,2023,1566471
1079,76,Valle Del Cauca,Total,2024,1598439
23,76,Valle Del Cauca,Total,Unnamed: 0,69
57,81,Arauca,Total,1993,40654
90,81,Arauca,Total,1994,41994
123,81,Arauca,Total,1995,43260
156,81,Arauca,Total,1996,44474
189,81,Arauca,Total,1997,45618
222,81,Arauca,Total,1998,46723
255,81,Arauca,Total,1999,47733
288,81,Arauca,Total,2000,48712
321,81,Arauca,Total,2001,49625
354,81,Arauca,Total,2002,50477
387,81,Arauca,Total,2003,51311
420,81,Arauca,Total,2004,52109
453,81,Arauca,Total,2005,52969
486,81,Arauca,Total,2006,53976
519,81,Arauca,Total,2007,55088
552,81,Arauca,Total,2008,56335
585,81,Arauca,Total,2009,57736
618,81,Arauca,Total,2010,59276
651,81,Arauca,Total,2011,60935
684,81,Arauca,Total,2012,62719
717,81,Arauca,Total,2013,64700
750,81,Arauca,Total,2014,66821
783,81,Arauca,Total,2015,69198
816,81,Arauca,Total,2016,72143
849,81,Arauca,Total,2017,75808
882,81,Arauca,Total,2018,81199
915,81,Arauca,Total,2019,87416
948,81,Arauca,Total,2020,92804
981,81,Arauca,Total,2021,96395
1014,81,Arauca,Total,2022,99118
1047,81,Arauca,Total,2023,101821
1080,81,Arauca,Total,2024,105147
24,81,Arauca,Total,Unnamed: 0,72
58,85,Casanare,Total,1993,47655
91,85,Casanare,Total,1994,50418
124,85,Casanare,Total,1995,53249
157,85,Casanare,Total,1996,56126
190,85,Casanare,Total,1997,59024
223,85,Casanare,Total,1998,61947
256,85,Casanare,Total,1999,64851
289,85,Casanare,Total,2000,67754
322,85,Casanare,Total,2001,70673
355,85,Casanare,Total,2002,73608
388,85,Casanare,Total,2003,76612
421,85,Casanare,Total,2004,79681
454,85,Casanare,Total,2005,82868
487,85,Casanare,Total,2006,86226
520,85,Casanare,Total,2007,89709
553,85,Casanare,Total,2008,93260
586,85,Casanare,Total,2009,96942
619,85,Casanare,Total,2010,100769
652,85,Casanare,Total,2011,104702
685,85,Casanare,Total,2012,108787
718,85,Casanare,Total,2013,113049
751,85,Casanare,Total,2014,117523
784,85,Casanare,Total,2015,122311
817,85,Casanare,Total,2016,127491
850,85,Casanare,Total,2017,133144
883,85,Casanare,Total,2018,139635
916,85,Casanare,Total,2019,144373
949,85,Casanare,Total,2020,148804
982,85,Casanare,Total,2021,152547
1015,85,Casanare,Total,2022,155988
1048,85,Casanare,Total,2023,159424
1081,85,Casanare,Total,2024,163629
25,85,Casanare,Total,Unnamed: 0,75
59,86,Putumayo,Total,1993,50359
92,86,Putumayo,Total,1994,51567
125,86,Putumayo,Total,1995,52985
158,86,Putumayo,Total,1996,54462
191,86,Putumayo,Total,1997,55930
224,86,Putumayo,Total,1998,57466
257,86,Putumayo,Total,1999,59043
290,86,Putumayo,Total,2000,60708
323,86,Putumayo,Total,2001,62450
356,86,Putumayo,Total,2002,64294
389,86,Putumayo,Total,2003,66250
422,86,Putumayo,Total,2004,68355
455,86,Putumayo,Total,2005,70622
488,86,Putumayo,Total,2006,73114
521,86,Putumayo,Total,2007,75841
554,86,Putumayo,Total,2008,78816
587,86,Putumayo,Total,2009,82098
620,86,Putumayo,Total,2010,85727
653,86,Putumayo,Total,2011,89712
686,86,Putumayo,Total,2012,93960
719,86,Putumayo,Total,2013,98538
752,86,Putumayo,Total,2014,103559
785,86,Putumayo,Total,2015,109081
818,86,Putumayo,Total,2016,115236
851,86,Putumayo,Total,2017,122093
884,86,Putumayo,Total,2018,129876
917,86,Putumayo,Total,2019,134597
950,86,Putumayo,Total,2020,139340
983,86,Putumayo,Total,2021,144080
1016,86,Putumayo,Total,2022,148952
1049,86,Putumayo,Total,2023,153975
1082,86,Putumayo,Total,2024,159354
26,86,Putumayo,Total,Unnamed: 0,78
60,88,"Archipiélago De San Andrés, Providencia Y",Total,1993,14124
93,88,"Archipiélago De San Andrés, Providencia Y",Total,1994,14547
126,88,"Archipiélago De San Andrés, Providencia Y",Total,1995,14925
159,88,"Archipiélago De San Andrés, Providencia Y",Total,1996,15274
192,88,"Archipiélago De San Andrés, Providencia Y",Total,1997,15607
225,88,"Archipiélago De San Andrés, Providencia Y",Total,1998,15875
258,88,"Archipiélago De San Andrés, Providencia Y",Total,1999,16130
291,88,"Archipiélago De San Andrés, Providencia Y",Total,2000,16361
324,88,"Archipiélago De San Andrés, Providencia Y",Total,2001,16541
357,88,"Archipiélago De San Andrés, Providencia Y",Total,2002,16695
390,88,"Archipiélago De San Andrés, Providencia Y",Total,2003,16814
423,88,"Archipiélago De San Andrés, Providencia Y",Total,2004,16939
456,88,"Archipiélago De San Andrés, Providencia Y",Total,2005,17055
489,88,"Archipiélago De San Andrés, Providencia Y",Total,2006,17190
522,88,"Archipiélago De San Andrés, Providencia Y",Total,2007,17346
555,88,"Archipiélago De San Andrés, Providencia Y",Total,2008,17489
588,88,"Archipiélago De San Andrés, Providencia Y",Total,2009,17650
621,88,"Archipiélago De San Andrés, Providencia Y",Total,2010,17831
654,88,"Archipiélago De San Andrés, Providencia Y",Total,2011,18031
687,88,"Archipiélago De San Andrés, Providencia Y",Total,2012,18259
720,88,"Archipiélago De San Andrés, Providencia Y",Total,2013,18519
753,88,"Archipiélago De San Andrés, Providencia Y",Total,2014,18802
786,88,"Archipiélago De San Andrés, Providencia Y",Total,2015,19132
819,88,"Archipiélago De San Andrés, Providencia Y",Total,2016,19516
852,88,"Archipiélago De San Andrés, Providencia Y",Total,2017,19935
885,88,"Archipiélago De San Andrés, Providencia Y",Total,2018,20443
918,88,"Archipiélago De San Andrés, Providencia Y",Total,2019,21227
951,88,"Archipiélago De San Andrés, Providencia Y",Total,2020,22067
984,88,"Archipiélago De San Andrés, Providencia Y",Total,2021,22815
1017,88,"Archipiélago De San Andrés, Providencia Y",Total,2022,23467
1050,88,"Archipiélago De San Andrés, Providencia Y",Total,2023,24066
1083,88,"Archipiélago De San Andrés, Providencia Y",Total,2024,24533
27,88,"Archipiélago De San Andrés, Providencia Y",Total,Unnamed: 0,81
61,91,Amazonas,Total,1993,8303
94,91,Amazonas,Total,1994,8680
127,91,Amazonas,Total,1995,9064
160,91,Amazonas,Total,1996,9408
193,91,Amazonas,Total,1997,9760
226,91,Amazonas,Total,1998,10093
259,91,Amazonas,Total,1999,10406
292,91,Amazonas,Total,2000,10738
325,91,Amazonas,Total,2001,11037
358,91,Amazonas,Total,2002,11338
391,91,Amazonas,Total,2003,11614
424,91,Amazonas,Total,2004,11891
457,91,Amazonas,Total,2005,12190
490,91,Amazonas,Total,2006,12522
523,91,Amazonas,Total,2007,12897
556,91,Amazonas,Total,2008,13267
589,91,Amazonas,Total,2009,13651
622,91,Amazonas,Total,2010,14100
655,91,Amazonas,Total,2011,14563
688,91,Amazonas,Total,2012,15059
721,91,Amazonas,Total,2013,15535
754,91,Amazonas,Total,2014,16061
787,91,Amazonas,Total,2015,16631
820,91,Amazonas,Total,2016,17262
853,91,Amazonas,Total,2017,17954
886,91,Amazonas,Total,2018,18795
919,91,Amazonas,Total,2019,19393
952,91,Amazonas,Total,2020,20053
985,91,Amazonas,Total,2021,20739
1018,91,Amazonas,Total,2022,21480
1051,91,Amazonas,Total,2023,22284
1084,91,Amazonas,Total,2024,23165
28,91,Amazonas,Total,Unnamed: 0,84
62,94,Guainía,Total,1993,4035
95,94,Guainía,Total,1994,4215
128,94,Guainía,Total,1995,4399
161,94,Guainía,Total,1996,4563
194,94,Guainía,Total,1997,4749
227,94,Guainía,Total,1998,4913
260,94,Guainía,Total,1999,5095
293,94,Guainía,Total,2000,5259
326,94,Guainía,Total,2001,5427
359,94,Guainía,Total,2002,5583
392,94,Guainía,Total,2003,5762
425,94,Guainía,Total,2004,5922
458,94,Guainía,Total,2005,6103
491,94,Guainía,Total,2006,6328
524,94,Guainía,Total,2007,6576
557,94,Guainía,Total,2008,6827
590,94,Guainía,Total,2009,7096
623,94,Guainía,Total,2010,7395
656,94,Guainía,Total,2011,7709
689,94,Guainía,Total,2012,8017
722,94,Guainía,Total,2013,8344
755,94,Guainía,Total,2014,8680
788,94,Guainía,Total,2015,9049
821,94,Guainía,Total,2016,9445
854,94,Guainía,Total,2017,9873
887,94,Guainía,Total,2018,10415
920,94,Guainía,Total,2019,10919
953,94,Guainía,Total,2020,11412
986,94,Guainía,Total,2021,11771
1019,94,Guainía,Total,2022,12107
1052,94,Guainía,Total,2023,12448
1085,94,Guainía,Total,2024,12866
29,94,Guainía,Total,Unnamed: 0,87
63,95,Guaviare,Total,1993,12821
96,95,Guaviare,Total,1994,13542
129,95,Guaviare,Total,1995,14230
162,95,Guaviare,Total,1996,14867
195,95,Guaviare,Total,1997,15423
228,95,Guaviare,Total,1998,15922
261,95,Guaviare,Total,1999,16343
294,95,Guaviare,Total,2000,16690
327,95,Guaviare,Total,2001,16959
360,95,Guaviare,Total,2002,17187
393,95,Guaviare,Total,2003,17357
426,95,Guaviare,Total,2004,17497
459,95,Guaviare,Total,2005,17623
492,95,Guaviare,Total,2006,17726
525,95,Guaviare,Total,2007,17870
558,95,Guaviare,Total,2008,18077
591,95,Guaviare,Total,2009,18311
624,95,Guaviare,Total,2010,18639
657,95,Guaviare,Total,2011,19013
690,95,Guaviare,Total,2012,19467
723,95,Guaviare,Total,2013,20020
756,95,Guaviare,Total,2014,20671
789,95,Guaviare,Total,2015,21431
822,95,Guaviare,Total,2016,22357
855,95,Guaviare,Total,2017,23426
888,95,Guaviare,Total,2018,24678
921,95,Guaviare,Total,2019,25597
954,95,Guaviare,Total,2020,26526
987,95,Guaviare,Total,2021,27472
1020,95,Guaviare,Total,2022,28472
1053,95,Guaviare,Total,2023,29530
1086,95,Guaviare,Total,2024,30852
30,95,Guaviare,Total,Unnamed: 0,90
64,97,Vaupés,Total,1993,3047
97,97,Vaupés,Total,1994,3193
130,97,Vaupés,Total,1995,3353
163,97,Vaupés,Total,1996,3487
196,97,Vaupés,Total,1997,3605
229,97,Vaupés,Total,1998,3709
262,97,Vaupés,Total,1999,3792
295,97,Vaupés,Total,2000,3884
328,97,Vaupés,Total,2001,3971
361,97,Vaupés,Total,2002,4040
394,97,Vaupés,Total,2003,4115
427,97,Vaupés,Total,2004,4196
460,97,Vaupés,Total,2005,4268
493,97,Vaupés,Total,2006,4399
526,97,Vaupés,Total,2007,4546
559,97,Vaupés,Total,2008,4725
592,97,Vaupés,Total,2009,4909
625,97,Vaupés,Total,2010,5110
658,97,Vaupés,Total,2011,5334
691,97,Vaupés,Total,2012,5550
724,97,Vaupés,Total,2013,5778
757,97,Vaupés,Total,2014,6001
790,97,Vaupés,Total,2015,6259
823,97,Vaupés,Total,2016,6511
856,97,Vaupés,Total,2017,6795
889,97,Vaupés,Total,2018,7156
922,97,Vaupés,Total,2019,7617
955,97,Vaupés,Total,2020,8111
988,97,Vaupés,Total,2021,8612
1021,97,Vaupés,Total,2022,9141
1054,97,Vaupés,Total,2023,9673
1087,97,Vaupés,Total,2024,10163
31,97,Vaupés,Total,Unnamed: 0,93
65,99,Vichada,Total,1993,10993
98,99,Vichada,Total,1994,11440
131,99,Vichada,Total,1995,11844
164,99,Vichada,Total,1996,12272
197,99,Vichada,Total,1997,12681
230,99,Vichada,Total,1998,13076
263,99,Vichada,Total,1999,13469
296,99,Vichada,Total,2000,13868
329,99,Vichada,Total,2001,14248
362,99,Vichada,Total,2002,14653
395,99,Vichada,Total,2003,15064
428,99,Vichada,Total,2004,15501
461,99,Vichada,Total,2005,15965
494,99,Vichada,Total,2006,16488
527,99,Vichada,Total,2007,17034
560,99,Vichada,Total,2008,17635
593,99,Vichada,Total,2009,18236
626,99,Vichada,Total,2010,18924
659,99,Vichada,Total,2011,19643
692,99,Vichada,Total,2012,20410
725,99,Vichada,Total,2013,21237
758,99,Vichada,Total,2014,22143
791,99,Vichada,Total,2015,23136
824,99,Vichada,Total,2016,24232
857,99,Vichada,Total,2017,25481
890,99,Vichada,Total,2018,26930
923,99,Vichada,Total,2019,28221
956,99,Vichada,Total,2020,29427
989,99,Vichada,Total,2021,30450
1022,99,Vichada,Total,2022,31414
1055,99,Vichada,Total,2023,32363
1088,99,Vichada,Total,2024,33326
32,99,Vichada,Total,Unnamed: 0,96
