,Código Departamento,Nombre Departamento,Área,Año,Hogares,Viviendas
128,13,Bolívar,Total,2022,667986,628797
129,13,Bolívar,Total,2023,685822,646088
130,13,Bolívar,Total,2024,703923,663626
131,13,Bolívar,Total,Unnamed: 0,9,9
132,15,Boyacá,Total,1993,257990,244760
133,15,Boyacá,Total,1994,263885,250186
134,15,Boyacá,Total,1995,269621,255472
135,15,Boyacá,Total,1996,275218,260640
136,15,Boyacá,Total,1997,280650,265667
137,15,Boyacá,Total,1998,285962,270603
138,15,Boyacá,Total,1999,291106,275408
139,15,Boyacá,Total,2000,296085,280088
140,15,Boyacá,Total,2001,300983,284732
141,15,Boyacá,Total,2002,305770,289314
142,15,Boyacá,Total,2003,310547,293938
143,15,Boyacá,Total,2004,315379,298670
144,15,Boyacá,Total,2005,320143,303356
145,15,Boyacá,Total,2006,325228,308494
146,15,Boyacá,Total,2007,330406,313755
147,15,Boyacá,Total,2008,335760,319252
148,15,Boyacá,Total,2009,341362,325051
149,15,Boyacá,Total,2010,347187,331125
150,15,Boyacá,Total,2011,353234,337465
151,15,Boyacá,Total,2012,359476,344037
152,15,Boyacá,Total,2013,365954,350868
153,15,Boyacá,Total,2014,372728,358003
154,15,Boyacá,Total,2015,379926,365553
155,15,Boyacá,Total,2016,387701,373653
156,15,Boyacá,Total,2017,396207,382353
157,15,Boyacá,Total,2018,405730,392192
158,15,Boyacá,Total,2019,414242,401052
159,15,Boyacá,Total,2020,422510,409653
160,15,Boyacá,Total,2021,430257,417720
161,15,Boyacá,Total,2022,437989,425738
162,15,Boyacá,Total,2023,445936,433929
163,15,Boyacá,Total,2024,452610,440845
164,15,Boyacá,Total,Unnamed: 0,12,12
165,17,Caldas,Total,1993,222579,215274
166,17,Caldas,Total,1994,228998,221598
167,17,Caldas,Total,1995,235032,227562
168,17,Caldas,Total,1996,240673,233157
169,17,Caldas,Total,1997,245945,238407
170,17,Caldas,Total,1998,250839,243300
171,17,Caldas,Total,1999,255549,248034
172,17,Caldas,Total,2000,259758,252281
173,17,Caldas,Total,2001,263448,256036
