,Código Departamento,Nombre Departamento,Área,Año,Viviendas
664,15,Boyacá,Total,2012,344037
697,15,Boyacá,Total,2013,350868
730,15,Boyacá,Total,2014,358003
763,15,Boyacá,Total,2015,365553
796,15,Boyacá,Total,2016,373653
829,15,Boyacá,Total,2017,382353
862,15,Boyacá,Total,2018,392192
895,15,Boyacá,Total,2019,401052
928,15,Boyacá,Total,2020,409653
961,15,Boyacá,Total,2021,417720
994,15,Boyacá,Total,2022,425738
1027,15,Boyacá,Total,2023,433929
1060,15,Boyacá,Total,2024,440845
4,15,Boyacá,Total,Unnamed: 0,12
38,17,Caldas,Total,1993,215274
71,17,Caldas,Total,1994,221598
104,17,Caldas,Total,1995,227562
137,17,Caldas,Total,1996,233157
170,17,Caldas,Total,1997,238407
203,17,Caldas,Total,1998,243300
236,17,Caldas,Total,1999,248034
269,17,Caldas,Total,2000,252281
302,17,Caldas,Total,2001,256036
335,17,Caldas,Total,2002,259446
368,17,Caldas,Total,2003,262526
401,17,Caldas,Total,2004,265358
434,17,Caldas,Total,2005,268046
467,17,Caldas,Total,2006,270685
500,17,Caldas,Total,2007,273509
533,17,Caldas,Total,2008,276507
566,17,Caldas,Total,2009,279812
599,17,Caldas,Total,2010,283540
632,17,Caldas,Total,2011,287583
665,17,Caldas,Total,2012,291792
698,17,Caldas,Total,2013,296189
731,17,Caldas,Total,2014,300881
764,17,Caldas,Total,2015,306043
797,17,Caldas,Total,2016,311811
830,17,Caldas,Total,2017,318263
863,17,Caldas,Total,2018,325681
896,17,Caldas,Total,2019,332894
929,17,Caldas,Total,2020,340324
962,17,Caldas,Total,2021,347709
995,17,Caldas,Total,2022,355289
1028,17,Caldas,Total,2023,363240
1061,17,Caldas,Total,2024,371922
5,17,Caldas,Total,Unnamed: 0,15
39,18,Caquetá,Total,1993,61760
72,18,Caquetá,Total,1994,64100
105,18,Caquetá,Total,1995,66398
138,18,Caquetá,Total,1996,68614
171,18,Caquetá,Total,1997,70769
204,18,Caquetá,Total,1998,72825
237,18,Caquetá,Total,1999,74799
270,18,Caquetá,Total,2000,76688
303,18,Caquetá,Total,2001,78492
336,18,Caquetá,Total,2002,80217
369,18,Caquetá,Total,2003,81907
402,18,Caquetá,Total,2004,83593
435,18,Caquetá,Total,2005,85302
468,18,Caquetá,Total,2006,87039
501,18,Caquetá,Total,2007,88872
534,18,Caquetá,Total,2008,90832
567,18,Caquetá,Total,2009,92926
600,18,Caquetá,Total,2010,95167
633,18,Caquetá,Total,2011,97576
666,18,Caquetá,Total,2012,100146
699,18,Caquetá,Total,2013,102875
732,18,Caquetá,Total,2014,105830
765,18,Caquetá,Total,2015,109076
798,18,Caquetá,Total,2016,112627
831,18,Caquetá,Total,2017,116519
864,18,Caquetá,Total,2018,120858
897,18,Caquetá,Total,2019,124478
930,18,Caquetá,Total,2020,128291
963,18,Caquetá,Total,2021,132156
996,18,Caquetá,Total,2022,136175
1029,18,Caquetá,Total,2023,140303
1062,18,Caquetá,Total,2024,145209
6,18,Caquetá,Total,Unnamed: 0,18
40,19,Cauca,Total,1993,219735
73,19,Cauca,Total,1994,226681
106,19,Cauca,Total,1995,233401
139,19,Cauca,Total,1996,239925
172,19,Cauca,Total,1997,246300
205,19,Cauca,Total,1998,252600
238,19,Cauca,Total,1999,258755
271,19,Cauca,Total,2000,264899
304,19,Cauca,Total,2001,271013
337,19,Cauca,Total,2002,277148
370,19,Cauca,Total,2003,283449
403,19,Cauca,Total,2004,289994
436,19,Cauca,Total,2005,295653
469,19,Cauca,Total,2006,302737
502,19,Cauca,Total,2007,311800
535,19,Cauca,Total,2008,319851
568,19,Cauca,Total,2009,328270
601,19,Cauca,Total,2010,337098
634,19,Cauca,Total,2011,346243
667,19,Cauca,Total,2012,355646
700,19,Cauca,Total,2013,365394
733,19,Cauca,Total,2014,375871
766,19,Cauca,Total,2015,387483
799,19,Cauca,Total,2016,400598
832,19,Cauca,Total,2017,415457
865,19,Cauca,Total,2018,432411
898,19,Cauca,Total,2019,443256
931,19,Cauca,Total,2020,454578
964,19,Cauca,Total,2021,466149
997,19,Cauca,Total,2022,478195
1030,19,Cauca,Total,2023,490768
1063,19,Cauca,Total,2024,502282
7,19,Cauca,Total,Unnamed: 0,21
41,20,Cesar,Total,1993,138439
74,20,Cesar,Total,1994,144404
107,20,Cesar,Total,1995,150300
140,20,Cesar,Total,1996,156138
173,20,Cesar,Total,1997,161920
206,20,Cesar,Total,1998,167700
239,20,Cesar,Total,1999,173489
272,20,Cesar,Total,2000,179180
305,20,Cesar,Total,2001,184801
338,20,Cesar,Total,2002,190381
371,20,Cesar,Total,2003,195950
404,20,Cesar,Total,2004,201484
437,20,Cesar,Total,2005,207151
470,20,Cesar,Total,2006,212942
503,20,Cesar,Total,2007,219025
536,20,Cesar,Total,2008,225421
569,20,Cesar,Total,2009,232182
602,20,Cesar,Total,2010,239284
635,20,Cesar,Total,2011,246707
668,20,Cesar,Total,2012,254556
701,20,Cesar,Total,2013,262916
734,20,Cesar,Total,2014,271827
767,20,Cesar,Total,2015,281436
800,20,Cesar,Total,2016,292455
833,20,Cesar,Total,2017,305221
866,20,Cesar,Total,2018,321581
899,20,Cesar,Total,2019,339931
932,20,Cesar,Total,2020,356790
965,20,Cesar,Total,2021,370226
998,20,Cesar,Total,2022,381996
1031,20,Cesar,Total,2023,393698
1064,20,Cesar,Total,2024,405904
8,20,Cesar,Total,Unnamed: 0,24
42,23,Córdoba,Total,1993,258155
75,23,Córdoba,Total,1994,264649
108,23,Córdoba,Total,1995,271131
141,23,Córdoba,Total,1996,277705
174,23,Córdoba,Total,1997,284277
207,23,Córdoba,Total,1998,290856
240,23,Córdoba,Total,1999,297496
273,23,Córdoba,Total,2000,304167
306,23,Córdoba,Total,2001,310870
339,23,Córdoba,Total,2002,317730
372,23,Córdoba,Total,2003,324710
405,23,Córdoba,Total,2004,331898
438,23,Córdoba,Total,2005,339290
471,23,Córdoba,Total,2006,347017
504,23,Córdoba,Total,2007,354978
537,23,Córdoba,Total,2008,363137
570,23,Córdoba,Total,2009,371509
603,23,Córdoba,Total,2010,380082
636,23,Córdoba,Total,2011,388900
669,23,Córdoba,Total,2012,398017
